Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,3.2600000e+00,-1.3636351e-02,2.7105000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,3.2600000e+00,-1.3636351e-02,2.5195000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,3.2600000e+00,-1.3636351e-02,2.3285000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,3.2600000e+00,-1.3636351e-02,2.1375000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,3.2600000e+00,-1.3636351e-02,1.9464999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,3.2600000e+00,-1.3636351e-02,1.7555000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,3.2600000e+00,-1.3636351e-02,1.5645000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,3.2600000e+00,-1.3636351e-02,1.3735000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,3.2600000e+00,-1.3636351e-02,1.1824999e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,3.2600000e+00,-1.3636351e-02,9.9149990e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,3.2600000e+00,-1.3636351e-02,8.0049992e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,3.2600000e+00,-1.3636351e-02,6.0949993e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,3.2600000e+00,-1.3636351e-02,4.1849995e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,3.2600000e+00,-1.3636351e-02,2.2749996e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,3.2600000e+00,-1.3636351e-02,3.6499977e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,3.2600000e+00,-1.3636351e-02,-1.5450001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,3.2600000e+00,1.7727274e-01,2.7105000e+00,3.0904892e-03,4.8573869e-03,6.2823007e-03,8.5213045e-03
18,3.2600000e+00,1.7727274e-01,2.5195000e+00,4.8556104e-03,9.9237135e-04,2.0192401e-03,5.3515495e-03
19,3.2600000e+00,1.7727274e-01,2.3285000e+00,1.2041993e-03,1.1572993e-03,6.4913868e-03,6.7028007e-03
20,3.2600000e+00,1.7727274e-01,2.1375000e+00,-1.4787189e-03,1.0849470e-03,9.2906123e-03,9.4699105e-03
21,3.2600000e+00,1.7727274e-01,1.9464999e+00,-2.2884456e-03,8.4082136e-04,1.3484217e-02,1.3702849e-02
22,3.2600000e+00,1.7727274e-01,1.7555000e+00,-2.5828704e-03,1.9308338e-04,1.5643513e-02,1.5856480e-02
23,3.2600000e+00,1.7727274e-01,1.5645000e+00,-2.4856986e-03,-7.2802304e-06,1.7973596e-02,1.8144665e-02
24,3.2600000e+00,1.7727274e-01,1.3735000e+00,-3.9260183e-03,5.1990303e-04,1.8597718e-02,1.9014705e-02
25,3.2600000e+00,1.7727274e-01,1.1824999e+00,-6.6013457e-03,-2.4506470e-04,1.9540228e-02,2.0626642e-02
26,3.2600000e+00,1.7727274e-01,9.9149990e-01,-9.0401508e-03,-2.8689549e-04,1.6260847e-02,1.8607035e-02
27,3.2600000e+00,1.7727274e-01,8.0049992e-01,-1.2919622e-02,1.4917349e-04,1.5529769e-02,2.0201797e-02
28,3.2600000e+00,1.7727274e-01,6.0949993e-01,-1.8914998e-02,-1.1297357e-03,1.6084330e-02,2.4854759e-02
29,3.2600000e+00,1.7727274e-01,4.1849995e-01,-2.0455532e-02,-2.3147692e-03,2.1089781e-02,2.9471440e-02
30,3.2600000e+00,1.7727274e-01,2.2749996e-01,-5.7821749e-03,-3.9356756e-03,1.7167371e-02,1.8537575e-02
31,3.2600000e+00,1.7727274e-01,3.6499977e-02,1.6728114e-02,2.6491224e-03,-1.5443036e-02,2.2920188e-02
32,3.2600000e+00,1.7727274e-01,-1.5450001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
33,3.2600000e+00,3.6818185e-01,2.7105000e+00,4.7496017e-03,9.3731657e-03,1.3127846e-03,1.0589540e-02
34,3.2600000e+00,3.6818185e-01,2.5195000e+00,5.2543511e-03,5.6508011e-03,3.7110271e-03,8.5622119e-03
35,3.2600000e+00,3.6818185e-01,2.3285000e+00,2.8951841e-03,5.2626524e-03,1.0382927e-02,1.1995114e-02
36,3.2600000e+00,3.6818185e-01,2.1375000e+00,1.8509445e-03,3.8102458e-03,1.3831470e-02,1.4465598e-02
37,3.2600000e+00,3.6818185e-01,1.9464999e+00,-6.7108101e-04,3.1934432e-03,1.4317167e-02,1.4684335e-02
38,3.2600000e+00,3.6818185e-01,1.7555000e+00,-2.4932723e-03,1.0399857e-03,1.8881969e-02,1.9074243e-02
39,3.2600000e+00,3.6818185e-01,1.5645000e+00,-3.7287334e-03,-6.4203539e-04,2.3115123e-02,2.3422737e-02
40,3.2600000e+00,3.6818185e-01,1.3735000e+00,-6.2385304e-03,-2.7376693e-03,2.3025876e-02,2.4012601e-02
41,3.2600000e+00,3.6818185e-01,1.1824999e+00,-9.4004292e-03,-3.6268728e-03,1.9848719e-02,2.2259694e-02
42,3.2600000e+00,3.6818185e-01,9.9149990e-01,-1.2501758e-02,-5.3534452e-03,1.4398803e-02,1.9806029e-02
43,3.2600000e+00,3.6818185e-01,8.0049992e-01,-1.5740467e-02,-4.4947024e-03,3.6092056e-03,1.6762787e-02
44,3.2600000e+00,3.6818185e-01,6.0949993e-01,-2.0777620e-02,-3.3179689e-03,-6.4326730e-04,2.1050707e-02
45,3.2600000e+00,3.6818185e-01,4.1849995e-01,-2.0402579e-02,-3.0549294e-03,9.8966248e-03,2.2881018e-02
46,3.2600000e+00,3.6818185e-01,2.2749996e-01,-4.2201038e-03,-6.5441728e-03,1.3168272e-02,1.5298328e-02
47,3.2600000e+00,3.6818185e-01,3.6499977e-02,2.8995618e-02,-6.2922500e-03,-9.1723781e-03,3.1055929e-02
48,3.2600000e+00,3.6818185e-01,-1.5450001e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
49,3.2600000e+00,5.5909097e-01,2.7105000e+00,2.0701329e-03,1.0363115e-02,1.2212708e-03,1.0638191e-02
50,3.2600000e+00,5.5909097e-01,2.5195000e+00,1.8337263e-03,1.0943407e-02,-5.0251577e-03,1.2180842e-02
51,3.2600000e+00,5.5909097e-01,2.3285000e+00,4.8269252e-03,8.0414079e-03,-8.5644154e-03,1.2700892e-02
52,3.2600000e+00,5.5909097e-01,2.1375000e+00,2.3141380e-03,6.6871694e-03,-5.2203466e-03,8.7934909e-03
53,3.2600000e+00,5.5909097e-01,1.9464999e+00,-7.7745924e-04,6.2110741e-03,2.6357691e-03,6.7918450e-03
