Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,4.2199998e+00,-8.9999989e-02,2.7365456e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,4.2199998e+00,-8.9999989e-02,2.5976365e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,4.2199998e+00,-8.9999989e-02,2.4587274e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,4.2199998e+00,-8.9999989e-02,2.3198183e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,4.2199998e+00,-8.9999989e-02,2.1809092e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,4.2199998e+00,-8.9999989e-02,2.0420001e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,4.2199998e+00,-8.9999989e-02,1.9030910e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,4.2199998e+00,-8.9999989e-02,1.7641817e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,4.2199998e+00,-8.9999989e-02,1.6252726e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,4.2199998e+00,-8.9999989e-02,1.4863636e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,4.2199998e+00,-8.9999989e-02,1.3474545e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,4.2199998e+00,-8.9999989e-02,1.2085454e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,4.2199998e+00,-8.9999989e-02,1.0696363e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,4.2199998e+00,-8.9999989e-02,9.3072724e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,4.2199998e+00,-8.9999989e-02,7.9181814e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,4.2199998e+00,-8.9999989e-02,6.5290904e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,4.2199998e+00,-8.9999989e-02,5.1399994e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
18,4.2199998e+00,-8.9999989e-02,3.7509084e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
19,4.2199998e+00,-8.9999989e-02,2.3618174e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
20,4.2199998e+00,-8.9999989e-02,9.7272635e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
21,4.2199998e+00,-8.9999989e-02,-4.1636467e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
22,4.2199998e+00,-8.9999989e-02,-1.8054557e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
23,4.2199998e+00,5.0000012e-02,2.7365456e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
24,4.2199998e+00,5.0000012e-02,2.5976365e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
25,4.2199998e+00,5.0000012e-02,2.4587274e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
26,4.2199998e+00,5.0000012e-02,2.3198183e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
27,4.2199998e+00,5.0000012e-02,2.1809092e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
28,4.2199998e+00,5.0000012e-02,2.0420001e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
29,4.2199998e+00,5.0000012e-02,1.9030910e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
30,4.2199998e+00,5.0000012e-02,1.7641817e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
31,4.2199998e+00,5.0000012e-02,1.6252726e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
