Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,4.4600000e+00,-7.1739122e-02,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,4.4600000e+00,-7.1739122e-02,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,4.4600000e+00,-7.1739122e-02,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,4.4600000e+00,-7.1739122e-02,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,4.4600000e+00,-7.1739122e-02,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,4.4600000e+00,-7.1739122e-02,2.2966666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,4.4600000e+00,-7.1739122e-02,2.2040606e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,4.4600000e+00,-7.1739122e-02,2.1114545e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,4.4600000e+00,-7.1739122e-02,2.0188484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,4.4600000e+00,-7.1739122e-02,1.9262424e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,4.4600000e+00,-7.1739122e-02,1.8336363e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,4.4600000e+00,-7.1739122e-02,1.7410303e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,4.4600000e+00,-7.1739122e-02,1.6484243e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,4.4600000e+00,-7.1739122e-02,1.5558182e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,4.4600000e+00,-7.1739122e-02,1.4632121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,4.4600000e+00,-7.1739122e-02,1.3706061e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,4.4600000e+00,-7.1739122e-02,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
18,4.4600000e+00,-7.1739122e-02,1.1853939e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
19,4.4600000e+00,-7.1739122e-02,1.0927879e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
20,4.4600000e+00,-7.1739122e-02,1.0001818e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
21,4.4600000e+00,-7.1739122e-02,9.0757573e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
22,4.4600000e+00,-7.1739122e-02,8.1496978e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
23,4.4600000e+00,-7.1739122e-02,7.2236371e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
24,4.4600000e+00,-7.1739122e-02,6.2975764e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
25,4.4600000e+00,-7.1739122e-02,5.3715158e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
26,4.4600000e+00,-7.1739122e-02,4.4454551e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
27,4.4600000e+00,-7.1739122e-02,3.5193944e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
28,4.4600000e+00,-7.1739122e-02,2.5933337e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
29,4.4600000e+00,-7.1739122e-02,1.6672730e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
30,4.4600000e+00,-7.1739122e-02,7.4121237e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
31,4.4600000e+00,-7.1739122e-02,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
32,4.4600000e+00,-7.1739122e-02,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
33,4.4600000e+00,-7.1739122e-02,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
34,4.4600000e+00,1.9565225e-02,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
35,4.4600000e+00,1.9565225e-02,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
36,4.4600000e+00,1.9565225e-02,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
37,4.4600000e+00,1.9565225e-02,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
38,4.4600000e+00,1.9565225e-02,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
39,4.4600000e+00,1.9565225e-02,2.2966666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
40,4.4600000e+00,1.9565225e-02,2.2040606e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
41,4.4600000e+00,1.9565225e-02,2.1114545e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
42,4.4600000e+00,1.9565225e-02,2.0188484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
43,4.4600000e+00,1.9565225e-02,1.9262424e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
44,4.4600000e+00,1.9565225e-02,1.8336363e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
45,4.4600000e+00,1.9565225e-02,1.7410303e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
46,4.4600000e+00,1.9565225e-02,1.6484243e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
47,4.4600000e+00,1.9565225e-02,1.5558182e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
48,4.4600000e+00,1.9565225e-02,1.4632121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
49,4.4600000e+00,1.9565225e-02,1.3706061e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
50,4.4600000e+00,1.9565225e-02,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
51,4.4600000e+00,1.9565225e-02,1.1853939e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
52,4.4600000e+00,1.9565225e-02,1.0927879e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
53,4.4600000e+00,1.9565225e-02,1.0001818e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
54,4.4600000e+00,1.9565225e-02,9.0757573e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
55,4.4600000e+00,1.9565225e-02,8.1496978e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
56,4.4600000e+00,1.9565225e-02,7.2236371e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
57,4.4600000e+00,1.9565225e-02,6.2975764e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
58,4.4600000e+00,1.9565225e-02,5.3715158e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
59,4.4600000e+00,1.9565225e-02,4.4454551e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
60,4.4600000e+00,1.9565225e-02,3.5193944e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
61,4.4600000e+00,1.9565225e-02,2.5933337e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
62,4.4600000e+00,1.9565225e-02,1.6672730e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
63,4.4600000e+00,1.9565225e-02,7.4121237e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
64,4.4600000e+00,1.9565225e-02,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
65,4.4600000e+00,1.9565225e-02,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
66,4.4600000e+00,1.9565225e-02,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
67,4.4600000e+00,1.1086959e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
68,4.4600000e+00,1.1086959e-01,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
69,4.4600000e+00,1.1086959e-01,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
70,4.4600000e+00,1.1086959e-01,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
71,4.4600000e+00,1.1086959e-01,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
72,4.4600000e+00,1.1086959e-01,2.2966666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
73,4.4600000e+00,1.1086959e-01,2.2040606e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
74,4.4600000e+00,1.1086959e-01,2.1114545e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
75,4.4600000e+00,1.1086959e-01,2.0188484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
76,4.4600000e+00,1.1086959e-01,1.9262424e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
77,4.4600000e+00,1.1086959e-01,1.8336363e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
78,4.4600000e+00,1.1086959e-01,1.7410303e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
79,4.4600000e+00,1.1086959e-01,1.6484243e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
80,4.4600000e+00,1.1086959e-01,1.5558182e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
81,4.4600000e+00,1.1086959e-01,1.4632121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
82,4.4600000e+00,1.1086959e-01,1.3706061e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
83,4.4600000e+00,1.1086959e-01,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
84,4.4600000e+00,1.1086959e-01,1.1853939e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
85,4.4600000e+00,1.1086959e-01,1.0927879e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
86,4.4600000e+00,1.1086959e-01,1.0001818e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
87,4.4600000e+00,1.1086959e-01,9.0757573e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
88,4.4600000e+00,1.1086959e-01,8.1496978e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
89,4.4600000e+00,1.1086959e-01,7.2236371e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
90,4.4600000e+00,1.1086959e-01,6.2975764e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
91,4.4600000e+00,1.1086959e-01,5.3715158e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
92,4.4600000e+00,1.1086959e-01,4.4454551e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
93,4.4600000e+00,1.1086959e-01,3.5193944e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
94,4.4600000e+00,1.1086959e-01,2.5933337e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
95,4.4600000e+00,1.1086959e-01,1.6672730e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
96,4.4600000e+00,1.1086959e-01,7.4121237e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
97,4.4600000e+00,1.1086959e-01,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
98,4.4600000e+00,1.1086959e-01,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
99,4.4600000e+00,1.1086959e-01,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
100,4.4600000e+00,2.0217392e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
101,4.4600000e+00,2.0217392e-01,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
102,4.4600000e+00,2.0217392e-01,2.5744848e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
103,4.4600000e+00,2.0217392e-01,2.4818788e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
104,4.4600000e+00,2.0217392e-01,2.3892727e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
105,4.4600000e+00,2.0217392e-01,2.2966666e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
106,4.4600000e+00,2.0217392e-01,2.2040606e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
107,4.4600000e+00,2.0217392e-01,2.1114545e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
108,4.4600000e+00,2.0217392e-01,2.0188484e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
109,4.4600000e+00,2.0217392e-01,1.9262424e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
110,4.4600000e+00,2.0217392e-01,1.8336363e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
111,4.4600000e+00,2.0217392e-01,1.7410303e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
112,4.4600000e+00,2.0217392e-01,1.6484243e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
113,4.4600000e+00,2.0217392e-01,1.5558182e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
114,4.4600000e+00,2.0217392e-01,1.4632121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
115,4.4600000e+00,2.0217392e-01,1.3706061e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
116,4.4600000e+00,2.0217392e-01,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
117,4.4600000e+00,2.0217392e-01,1.1853939e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
118,4.4600000e+00,2.0217392e-01,1.0927879e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
119,4.4600000e+00,2.0217392e-01,1.0001818e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
120,4.4600000e+00,2.0217392e-01,9.0757573e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
121,4.4600000e+00,2.0217392e-01,8.1496978e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
