Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
48,2.5400000e+00,1.9565225e-02,1.4632121e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
49,2.5400000e+00,1.9565225e-02,1.3706061e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
50,2.5400000e+00,1.9565225e-02,1.2780000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
51,2.5400000e+00,1.9565225e-02,1.1853939e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
52,2.5400000e+00,1.9565225e-02,1.0927879e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
53,2.5400000e+00,1.9565225e-02,1.0001818e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
54,2.5400000e+00,1.9565225e-02,9.0757573e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
55,2.5400000e+00,1.9565225e-02,8.1496978e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
56,2.5400000e+00,1.9565225e-02,7.2236371e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
57,2.5400000e+00,1.9565225e-02,6.2975764e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
58,2.5400000e+00,1.9565225e-02,5.3715158e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
59,2.5400000e+00,1.9565225e-02,4.4454551e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
60,2.5400000e+00,1.9565225e-02,3.5193944e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
61,2.5400000e+00,1.9565225e-02,2.5933337e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
62,2.5400000e+00,1.9565225e-02,1.6672730e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
63,2.5400000e+00,1.9565225e-02,7.4121237e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
64,2.5400000e+00,1.9565225e-02,-1.8484831e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
65,2.5400000e+00,1.9565225e-02,-1.1109090e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
66,2.5400000e+00,1.9565225e-02,-2.0369697e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
67,2.5400000e+00,1.1086959e-01,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
68,2.5400000e+00,1.1086959e-01,2.6670909e+00,3.4482297e-03,-7.1582344e-04,2.0085866e-04,3.5274688e-03
69,2.5400000e+00,1.1086959e-01,2.5744848e+00,3.9742202e-03,-4.4672165e-04,-2.1196227e-03,4.5262333e-03
70,2.5400000e+00,1.1086959e-01,2.4818788e+00,4.4689151e-03,-1.9803035e-04,-4.4148769e-03,6.2850262e-03
71,2.5400000e+00,1.1086959e-01,2.3892727e+00,4.0958133e-03,5.0347542e-05,-6.2799877e-03,7.4977647e-03
72,2.5400000e+00,1.1086959e-01,2.2966666e+00,3.2718678e-03,1.1355157e-04,-5.6472211e-03,6.5275664e-03
73,2.5400000e+00,1.1086959e-01,2.2040606e+00,2.4630574e-03,1.5353880e-04,-4.8444686e-03,5.4368284e-03
74,2.5400000e+00,1.1086959e-01,2.1114545e+00,1.5836039e-03,1.8360984e-04,-4.1207941e-03,4.4184225e-03
75,2.5400000e+00,1.1086959e-01,2.0188484e+00,1.6433980e-04,1.5890549e-04,-3.1896699e-03,3.1978514e-03
76,2.5400000e+00,1.1086959e-01,1.9262424e+00,-1.1906473e-03,1.1123279e-04,-1.7218983e-03,2.0964129e-03
77,2.5400000e+00,1.1086959e-01,1.8336363e+00,-2.6182227e-03,7.5819960e-05,-5.2262528e-04,2.6709505e-03
78,2.5400000e+00,1.1086959e-01,1.7410303e+00,-4.2567505e-03,7.3487514e-05,4.5047869e-05,4.2576231e-03
79,2.5400000e+00,1.1086959e-01,1.6484243e+00,-5.7864198e-03,4.5991022e-05,5.2881677e-04,5.8107157e-03
80,2.5400000e+00,1.1086959e-01,1.5558182e+00,-6.0035973e-03,4.7234342e-05,1.0648048e-04,6.0047274e-03
81,2.5400000e+00,1.1086959e-01,1.4632121e+00,-6.0038213e-03,5.7999307e-05,-6.2552915e-04,6.0365982e-03
82,2.5400000e+00,1.1086959e-01,1.3706061e+00,-6.1709257e-03,3.0404037e-05,-1.3532477e-03,6.3176360e-03
83,2.5400000e+00,1.1086959e-01,1.2780000e+00,-6.1593624e-03,-2.3958013e-04,-1.0290475e-04,6.1648791e-03
84,2.5400000e+00,1.1086959e-01,1.1853939e+00,-5.8953837e-03,-5.4877158e-04,1.4947450e-03,6.1066323e-03
85,2.5400000e+00,1.1086959e-01,1.0927879e+00,-5.6311013e-03,-8.5840368e-04,3.0916820e-03,6.4811003e-03
86,2.5400000e+00,1.1086959e-01,1.0001818e+00,-4.8996639e-03,-1.6666502e-04,9.1358670e-04,4.9868952e-03
