Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
1,-2.2580640e-02,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
2,1.3225806e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
3,2.8709677e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
4,4.4193545e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
5,5.9677422e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
6,7.5161290e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
7,9.0645164e-01,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
8,1.0612903e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
9,1.2161289e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
10,1.3709676e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
11,1.5258064e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
12,1.6806451e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
13,1.8354838e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
14,1.9903225e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
15,2.1451612e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
16,2.2999997e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
17,2.4548385e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
18,2.6096773e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
19,2.7645159e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
20,2.9193547e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
21,3.0741932e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
22,3.2290320e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
23,3.3838708e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
24,3.5387094e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
25,3.6935482e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
26,3.8483868e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
27,4.0032258e+00,3.8222220e+00,2.1899998e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
