Length Units,meter
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) Velocity Magnitude - m/s
49,4.3769231e+00,2.8900001e+00,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
50,4.4692307e+00,2.8900001e+00,2.7596970e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
51,-5.3846151e-02,2.8900001e+00,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
52,3.8461536e-02,2.8900001e+00,2.6670909e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00
53,1.3076922e-01,2.8900001e+00,2.6670909e+00,-8.7533453e-03,-3.5865918e-02,-1.6350403e-02,4.0377229e-02
54,2.2307691e-01,2.8900001e+00,2.6670909e+00,-2.1978881e-02,-3.8755819e-02,-7.0507703e-03,4.5108736e-02
55,3.1538460e-01,2.8900001e+00,2.6670909e+00,-3.4272790e-02,-3.5166331e-02,-8.7147169e-03,4.9872246e-02
56,4.0769228e-01,2.8900001e+00,2.6670909e+00,-4.3721929e-02,-3.1549610e-02,-8.0984859e-03,5.4521285e-02
57,4.9999997e-01,2.8900001e+00,2.6670909e+00,-5.3954192e-02,-2.7481485e-02,-9.9897459e-03,6.1368410e-02
58,5.9230769e-01,2.8900001e+00,2.6670909e+00,-6.3923731e-02,-2.6234129e-02,-4.4177263e-03,6.9238640e-02
59,6.8461537e-01,2.8900001e+00,2.6670909e+00,-7.3350884e-02,-2.5908588e-02,-4.5509869e-03,7.7925086e-02
60,7.7692306e-01,2.8900001e+00,2.6670909e+00,-8.0639414e-02,-2.5258929e-02,-5.0409543e-03,8.4653057e-02
61,8.6923075e-01,2.8900001e+00,2.6670909e+00,-8.8222079e-02,-2.4364060e-02,-3.4400702e-03,9.1589175e-02
62,9.6153843e-01,2.8900001e+00,2.6670909e+00,-9.2000194e-02,-2.4388939e-02,-1.9592594e-03,9.5198184e-02
