Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
63,7,7,0.275913,0.158189,0.0403961,0.0952758,21.195,0.352921,0.087573,0
64,7,7,0.276351,0.158396,0.0403631,0.0952758,21.195,0.348719,0.087208,0
65,7,7,0.276648,0.158581,0.0403481,0.0952758,21.195,0.345748,0.0853638,0
66,7,7,0.276852,0.158743,0.040346,0.0952758,21.195,0.343601,0.0869872,0
67,7,7,0.276989,0.158885,0.0403523,0.0952758,21.195,0.341997,0.0880154,0
68,7,7,0.277079,0.159008,0.0403641,0.0952758,21.195,0.340779,0.0889362,0
69,7,7,0.277132,0.159114,0.0403792,0.0952758,21.195,0.339802,0.0919406,0
70,7,7,0.275568,0.158908,0.0398027,0.0907005,21.195,0.339461,0.0915809,0
71,8,8,0.276738,0.159247,0.039582,0.0907005,21.195,0.325963,0.0913478,0
72,8,8,0.277196,0.159448,0.0394892,0.0907005,21.195,0.3192,0.0887881,0
73,8,8,0.27749,0.15964,0.0394475,0.0907005,21.195,0.314712,0.0863696,0
74,8,8,0.277678,0.159812,0.0394327,0.0907005,21.195,0.311631,0.0950684,0
75,8,8,0.277799,0.15996,0.0394335,0.0907005,21.195,0.309453,0.0914452,0
76,8,8,0.277875,0.160088,0.0394437,0.0907005,21.195,0.307849,0.108344,0
77,8,8,0.27792,0.160197,0.0394591,0.0907005,21.195,0.306631,0.125311,0
78,8,8,0.27794,0.160289,0.0394769,0.0907005,21.195,0.305647,0.121869,0
79,8,8,0.277945,0.160368,0.0394953,0.0907005,21.195,0.304832,0.117121,0
80,8,8,0.277466,0.1604,0.0390867,0.0893194,21.195,0.304681,0.116961,0
81,9,9,0.278032,0.160595,0.0387206,0.0893194,21.195,0.293359,0.113716,0
82,9,9,0.278275,0.160766,0.0386358,0.0893194,21.195,0.288345,0.107117,0
83,9,9,0.278422,0.160934,0.0386045,0.0893194,21.195,0.285024,0.107215,0
84,9,9,0.278506,0.161077,0.0385958,0.0893194,21.195,0.282734,0.101268,0
85,9,9,0.278549,0.161198,0.0385982,0.0893194,21.195,0.281069,0.0988302,0
86,9,9,0.278565,0.161297,0.0386062,0.0893194,21.195,0.279823,0.095287,0
87,9,9,0.278563,0.161379,0.0386168,0.0893194,21.195,0.278835,0.0915215,0
88,9,9,0.278547,0.161446,0.0386279,0.0893194,21.195,0.278014,0.0870227,0
89,9,9,0.278524,0.161501,0.0386386,0.0893194,21.195,0.277301,0.0905303,0
90,9,9,0.278364,0.161545,0.0383643,0.0887524,21.195,0.277214,0.0904347,0
91,10,10,0.27865,0.161643,0.037941,0.0887524,21.195,0.267894,0.0855668,0
92,10,10,0.27879,0.16177,0.0378697,0.0887524,21.195,0.264119,0.0895381,0
93,10,10,0.278864,0.161896,0.0378422,0.0887524,21.195,0.261577,0.0853383,0
94,10,10,0.278895,0.162002,0.0378318,0.0887524,21.195,0.259801,0.088385,0
95,10,10,0.278898,0.162086,0.03783,0.0887524,21.195,0.258499,0.0863928,0
96,10,10,0.278883,0.162154,0.0378325,0.0887524,21.195,0.257487,0.0940283,0
97,10,10,0.278857,0.162208,0.0378366,0.0887524,21.195,0.25666,0.0905075,0
98,10,10,0.278826,0.162253,0.0378409,0.0887524,21.195,0.255965,0.0903623,0
99,10,10,0.27879,0.162289,0.0378448,0.0887524,21.195,0.25536,0.0959808,0
100,10,10,0.278718,0.162347,0.037678,0.0883875,21.195,0.255297,0.0959098,0
101,11,11,0.278854,0.162366,0.0372479,0.0883875,21.195,0.247535,0.0866047,0
102,11,11,0.278943,0.162448,0.0371895,0.0883875,21.195,0.244539,0.0904153,0
103,11,11,0.278979,0.162536,0.0371637,0.0883875,21.195,0.242531,0.0852937,0
104,11,11,0.278982,0.162608,0.0371514,0.0883875,21.195,0.241136,0.0895552,0
105,11,11,0.278965,0.162664,0.0371453,0.0883875,21.195,0.240095,0.10337,0
106,11,11,0.278935,0.162707,0.0371421,0.0883875,21.195,0.239285,0.0945529,0
107,11,11,0.278898,0.162739,0.0371384,0.0883875,21.195,0.238659,0.105096,0
108,11,11,0.27885,0.162757,0.0371397,0.0883875,21.195,0.238237,0.133297,0
109,11,11,0.278809,0.162771,0.0371393,0.0883875,21.195,0.237731,0.165905,0
110,11,11,0.27877,0.162867,0.0370427,0.0880749,21.195,0.237682,0.165848,0
111,12,12,0.278835,0.162833,0.0366225,0.0880749,21.195,0.231306,0.156944,0
112,12,12,0.278888,0.162876,0.0365716,0.0880749,21.195,0.229001,0.136955,0
113,12,12,0.2789,0.162935,0.0365488,0.0880749,21.195,0.227446,0.124447,0
114,12,12,0.278887,0.16298,0.0365358,0.0880749,21.195,0.226327,0.119821,0
115,12,12,0.278859,0.163015,0.0365274,0.0880749,21.195,0.225485,0.11335,0
116,12,12,0.278823,0.163041,0.0365209,0.0880749,21.195,0.22481,0.113105,0
117,12,12,0.278784,0.163062,0.0365154,0.0880749,21.195,0.224229,0.119635,0
118,12,12,0.278744,0.163078,0.0365098,0.0880749,21.195,0.223731,0.131942,0
119,12,12,0.278706,0.163091,0.0365046,0.0880749,21.195,0.223284,0.123823,0
120,12,12,0.278657,0.163198,0.0364389,0.087748,21.195,0.22324,0.123772,0
121,13,13,0.278662,0.163126,0.0360359,0.087748,21.195,0.217874,0.119097,0
122,13,13,0.278692,0.163142,0.0359904,0.087748,21.195,0.216147,0.107741,0
123,13,13,0.278691,0.163176,0.0359677,0.087748,21.195,0.21497,0.107077,0
124,13,13,0.278672,0.163201,0.0359532,0.087748,21.195,0.214211,0.120476,0
125,13,13,0.278642,0.163218,0.0359434,0.087748,21.195,0.213707,0.122421,0
126,13,13,0.278608,0.16323,0.0359352,0.087748,21.195,0.214002,0.117224,0
127,13,13,0.278571,0.163239,0.0359289,0.087748,21.195,0.212243,0.111409,0
128,13,13,0.278535,0.163244,0.0359222,0.087748,21.195,0.211885,0.103175,0
129,13,13,0.278501,0.163248,0.0359157,0.087748,21.195,0.211484,0.114717,0
